Provider ID,Hospital Name,Address,City,State,ZIP Code,County Name,Phone Number,Hospital Type,Hospital Ownership,Emergency Services,Meets criteria for meaningful use of EHRs,Hospital overall rating,Hospital overall rating footnote,Mortality national comparison,Mortality national comparison footnote,Safety of care national comparison,Safety of care national comparison footnote,Readmission national comparison,Readmission national comparison footnote,Patient experience national comparison,Patient experience national comparison footnote,Effectiveness of care national comparison,Effectiveness of care national comparison footnote,Timeliness of care national comparison,Timeliness of care national comparison footnote,Efficient use of medical imaging national comparison,Efficient use of medical imaging national comparison footnote,Location
10018,CALLAHAN EYE HOSPITAL,1720 UNIVERSITY BLVD,BIRMINGHAM,AL,35233,JEFFERSON,2053258100,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Same as the national average,,Same as the national average,,Not Available,Results are not available for this reporting period,"1720 UNIVERSITY BLVD
BIRMINGHAM, AL
(33.503137, -86.802401)"
70004,SHARON HOSPITAL,"50 HOSPITAL HILL ROAD, PO BOX 789",SHARON,CT,6069,LITCHFIELD,8603644228,Acute Care Hospitals,Proprietary,TRUE,TRUE,3,,Same as the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Same as the national average,,"50 HOSPITAL HILL ROAD, PO BOX 789
SHARON, CT
(41.879662, -73.481572)"
50243,DESERT REGIONAL MEDICAL CENTER,1150 NORTH INDIAN CANYON DRIVE,PALM SPRINGS,CA,92262,RIVERSIDE,7603236511,Acute Care Hospitals,Proprietary,TRUE,TRUE,2,,Below the national average,,Below the national average,,Below the national average,,Below the national average,,Same as the national average,,Below the national average,,Same as the national average,,"1150 NORTH INDIAN CANYON DRIVE
PALM SPRINGS, CA
(33.838861, -116.545598)"
60024,UNIVERSITY OF COLORADO HOSPITAL AUTHORITY,12605 EAST 16TH AVENUE,AURORA,CO,80045,ADAMS,7208480000,Acute Care Hospitals,Government - Hospital District or Authority,TRUE,TRUE,2,,Same as the national average,,Below the national average,,Below the national average,,Above the national average,,Same as the national average,,Same as the national average,,Above the national average,,"12605 EAST 16TH AVENUE
AURORA, CO
(39.7405, -104.8377)"
110028,UNIVERSITY HOSPITAL,1350 WALTON WAY,AUGUSTA,GA,30901,RICHMOND,7067229011,Acute Care Hospitals,Voluntary non-profit - Other,TRUE,TRUE,3,,Same as the national average,,Above the national average,,Below the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Above the national average,,"1350 WALTON WAY
AUGUSTA, GA
(33.473139, -81.981699)"
53309,MILLER CHILDREN'S HOSPITAL,2801 ATLANTIC AVENUE,LONG BEACH,CA,90806,LOS ANGELES,5629338001,Childrens,Voluntary non-profit - Other,TRUE,TRUE,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,"2801 ATLANTIC AVENUE
LONG BEACH, CA
(33.807107, -118.185098)"
101311,MADISON COUNTY MEMORIAL HOSPITAL,224 NW CRANE AVE,MADISON,FL,32340,MADISON,8509732271,Critical Access Hospitals,Government - Hospital District or Authority,TRUE,TRUE,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score,Same as the national average,,Not Available,Results are not available for this reporting period,Same as the national average,,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,"224 NW CRANE AVE
MADISON, FL
(30.471413, -83.419898)"
50471,GOOD SAMARITAN HOSPITAL,1225 WILSHIRE BOULEVARD,LOS ANGELES,CA,90017,LOS ANGELES,2139772121,Acute Care Hospitals,Proprietary,TRUE,TRUE,3,,Above the national average,,Above the national average,,Same as the national average,,Below the national average,,Same as the national average,,Same as the national average,,Same as the national average,,"1225 WILSHIRE BOULEVARD
LOS ANGELES, CA
(34.053209, -118.265292)"
30136,DIGNITY HEALTH - ARIZONA GENERAL HOSPITAL,7171 SOUTH 51ST AVENUE,LAVEEN,AZ,85339,MARICOPA,6235845100,Acute Care Hospitals,Proprietary,TRUE,,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Same as the national average,,Same as the national average,,Not Available,Results are not available for this reporting period,"7171 SOUTH 51ST AVENUE
LAVEEN, AZ
(33.380678, -112.168233)"
50150,SIERRA NEVADA MEMORIAL HOSPITAL,155 GLASSON WAY,GRASS VALLEY,CA,95945,NEVADA,5302746000,Acute Care Hospitals,Voluntary non-profit - Other,TRUE,TRUE,3,,Same as the national average,,Above the national average,,Above the national average,,Below the national average,,Same as the national average,,Below the national average,,Same as the national average,,"155 GLASSON WAY
GRASS VALLEY, CA
(39.229022, -121.04734)"
80009,BAYHEALTH - MILFORD MEMORIAL HOSPITAL,21 WEST CLARKE AVENUE,MILFORD,DE,19963,SUSSEX,3024223311,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,4,,Same as the national average,,Same as the national average,,Above the national average,,Same as the national average,,Same as the national average,,Below the national average,,Same as the national average,,"21 WEST CLARKE AVENUE
MILFORD, DE
(38.905855, -75.432714)"
50070,KAISER FOUNDATION HOSPITAL - SOUTH SAN FRANCISCO,1200 EL CAMINO REAL,SOUTH SAN FRANCISCO,CA,94080,SAN MATEO,6507423200,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3,This hospitals star rating only includes data reported on inpatient services,Not Available,Results are not available for this reporting period,Same as the national average,,Not Available,Results are not available for this reporting period,Same as the national average,,Same as the national average,,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,"1200 EL CAMINO REAL
SOUTH SAN FRANCISCO, CA
(37.658376, -122.439205)"
100006,ORLANDO HEALTH,52 W UNDERWOOD ST,ORLANDO,FL,32806,ORANGE,3218438000,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3,,Same as the national average,,Above the national average,,Below the national average,,Same as the national average,,Same as the national average,,Below the national average,,Above the national average,,"52 W UNDERWOOD ST
ORLANDO, FL
(28.526925, -81.378203)"
40019,FORREST CITY MEDICAL CENTER,1601 NEWCASTLE ROAD,FORREST CITY,AR,72335,SAINT FRANCIS,8702610000,Acute Care Hospitals,Proprietary,TRUE,TRUE,2,,Same as the national average,,Not Available,Results are not available for this reporting period,Same as the national average,,Below the national average,,Same as the national average,,Above the national average,,Same as the national average,,"1601 NEWCASTLE ROAD
FORREST CITY, AR
(35.039275, -90.771894)"
50688,SAINT LOUISE REGIONAL HOSPITAL,9400 NO NAME UNO,GILROY,CA,95020,SANTA CLARA,4088482000,Acute Care Hospitals,Voluntary non-profit - Church,TRUE,TRUE,3,,Same as the national average,,Same as the national average,,Same as the national average,,Below the national average,,Same as the national average,,Same as the national average,,Not Available,Results are not available for this reporting period,"9400 NO NAME UNO
GILROY, CA
(37.03511, -121.573038)"
30010,ST. MARY'S HOSPITAL,1601 WEST ST MARY'S ROAD,TUCSON,AZ,85745,PIMA,5208723000,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3,,Same as the national average,,Above the national average,,Above the national average,,Below the national average,,Above the national average,,Below the national average,,Same as the national average,,"1601 WEST ST MARY'S ROAD
TUCSON, AZ
(32.228884, -110.999567)"
50778,LOMA LINDA UNIVERSITY CHILDREN'S HOSPITAL,11234 ANDERSON STREET SUITE A,LOMA LINDA,CA,92354,SAN BERNARDINO,9095588000,Acute Care Hospitals,Voluntary non-profit - Church,FALSE,,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score,Not Available,Results are not available for this reporting period,Same as the national average,,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Same as the national average,,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,"11234 ANDERSON STREET SUITE A
LOMA LINDA, CA
(34.049507, -117.261117)"
100142,JACKSON HOSPITAL,4250 HOSPITAL DR,MARIANNA,FL,32446,JACKSON,8507182620,Acute Care Hospitals,Government - Hospital District or Authority,TRUE,TRUE,3,,Same as the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Below the national average,,Above the national average,,Same as the national average,,"4250 HOSPITAL DR
MARIANNA, FL
(30.78748, -85.240932)"
50575,GARDENS REGIONAL HOSPITAL AND MEDICAL CENTER,21530 S PIONEER BLVD,HAWAIIAN GARDENS,CA,90716,LOS ANGELES,5628600401,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3,,Above the national average,,Same as the national average,,Above the national average,,Below the national average,,Below the national average,,Same as the national average,,Not Available,Results are not available for this reporting period,"21530 S PIONEER BLVD
HAWAIIAN GARDENS, CA
(33.833516, -118.081794)"
31301,BENSON HOSPITAL,450 SOUTH OCOTILLO AVENUE,BENSON,AZ,85602,COCHISE,5205862261,Critical Access Hospitals,Government - Hospital District or Authority,TRUE,TRUE,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Same as the national average,,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,"450 SOUTH OCOTILLO AVENUE
BENSON, AZ
(31.964829, -110.307123)"
10047,GEORGIANA MEDICAL CENTER,515 N MIRANDA AVENUE,GEORGIANA,AL,36033,BUTLER,3343762205,Acute Care Hospitals,Proprietary,TRUE,TRUE,3,,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Same as the national average,,Same as the national average,,Same as the national average,,Above the national average,,Not Available,Results are not available for this reporting period,"515 N MIRANDA AVENUE
GEORGIANA, AL
(31.636334, -86.742751)"
100093,BAPTIST HOSPITAL,1000 W MORENO ST,PENSACOLA,FL,32501,ESCAMBIA,8504344011,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3,,Same as the national average,,Same as the national average,,Same as the national average,,Above the national average,,Same as the national average,,Same as the national average,,Below the national average,,"1000 W MORENO ST
PENSACOLA, FL
(30.428676, -87.232015)"
60125,CASTLE ROCK ADVENTIST HOSPITAL,2350 MEADOWS BLVD,CASTLE ROCK,CO,80109,DOUGLAS,7204552500,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3,,Same as the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Same as the national average,,"2350 MEADOWS BLVD
CASTLE ROCK, CO
(39.404112, -104.886146)"
50116,NORTHRIDGE HOSPITAL MEDICAL CENTER,18300 ROSCOE BLVD,NORTHRIDGE,CA,91325,LOS ANGELES,8188858500,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,2,,Same as the national average,,Below the national average,,Below the national average,,Below the national average,,Same as the national average,,Below the national average,,Same as the national average,,"18300 ROSCOE BLVD
NORTHRIDGE, CA
(34.220789, -118.533216)"
50091,COMMUNITY HOSPITAL OF HUNTINGTON PARK,2623 E SLAUSON AVE,HUNTINGTON PARK,CA,90255,LOS ANGELES,3235831931,Acute Care Hospitals,Proprietary,TRUE,TRUE,2,,Same as the national average,,Not Available,Results are not available for this reporting period,Same as the national average,,Below the national average,,Same as the national average,,Below the national average,,Not Available,Results are not available for this reporting period,"2623 E SLAUSON AVE
HUNTINGTON PARK, CA
(33.989182, -118.22419)"
50351,TORRANCE MEMORIAL MEDICAL CENTER,3330 LOMITA BLVD,TORRANCE,CA,90509,LOS ANGELES,3103259110,Acute Care Hospitals,Voluntary non-profit - Other,TRUE,TRUE,3,,Same as the national average,,Below the national average,,Above the national average,,Above the national average,,Same as the national average,,Below the national average,,Same as the national average,,"3330 LOMITA BLVD
TORRANCE, CA
(33.812644, -118.34375)"
101312,FISHERMEN'S HOSPITAL,3301 OVERSEAS HWY,MARATHON,FL,33050,MONROE,3057435533,Critical Access Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3,,Same as the national average,,Not Available,Results are not available for this reporting period,Same as the national average,,Same as the national average,,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Same as the national average,,"3301 OVERSEAS HWY
MARATHON, FL
(24.71113, -81.09472)"
